                        ********************************
*     UNIVERSITY OF BOLO********************************




                        PROGRAM RICHARDS
                        ****************


  INFILTRATION IN HOMOGENEOUS COLUMN OF SAND                                    



    NUMBER OF NODES                 (NNODE)...: 60
    NUMBER OF SOIL MATERIALS        (NMAT)....:  4
    NUMBER OF LAYERS (NLAY)....:  1
    KODE   OF SOLUTION METHOD (KODE)....:  4
    KODE   FOR RESTART READING      (KREST)...:  0
    KODE   FOR BOUNDARY CONDITIONS  (KBOUN)...:  0
    KODE FOR COMP.INTEBLOCK COND.   (KBLOCK)..:  4


                             SOIL PARAMETERS
                             ***************

    IM   KS(IM)     PA(IM)   ALFA(IM)  BETA(IM)  GAMMA(IM) TETAS(IM) TETAR(IM)
 WATER BALANCE ERROR %:  -1.6581E+01   NUMBER OF TIME STEPS :         186


       NODE  IMAT    Z               H                   T

         1    1    0.50        -2.000000E+01        2.698348E-01
         2    1    2.50        -2.126301E+01        2.655996E-01
         3    1    4.50        -2.305040E+01        2.586189E-01
         4    1    6.50        -2.572827E+01        2.461261E-01
         5    1    8.50        -3.012824E+01        2.215795E-01
         6    1   10.50        -3.867732E+01        1.713575E-01
         7    1   12.50        -5.813250E+01        1.051751E-01
         8    1   14.50        -8.576898E+01        8.228221E-02
         9    1   16.50        -9.805727E+01        7.934684E-02
        10    1   18.50        -9.981660E+01        7.905693E-02
        11    1   20.50        -9.998442E+01        7.903054E-02
        12    1   22.50        -9.999876E+01        7.902829E-02
        13    1   24.50        -9.999991E+01        7.902811E-02
        14    1   26.50        -9.999999E+01        7.902810E-02
        15    1   28.50        -1.000000E+02        7.902810E-02
        16    1   30.50        -1.000000E+02        7.902810E-02
        17    1   32.50        -1.000000E+02        7.902810E-02
        18    1   34.50        -1.000000E+02        7.902810E-02
        19    1   36.50        -1.000000E+02        7.902810E-02
        20    1   38.50        -1.000000E+02        7.902810E-02
        21    1   40.50        -1.000000E+02        7.902810E-02
        22    1   42.50        -1.000000E+02        7.902810E-02
        23    1   44.50        -1.000000E+02        7.902810E-02
        24    1   46.50        -1.000000E+02        7.902810E-02
        25    1   48.50        -1.000000E+02        7.902810E-02
        26    1   50.50        -1.000000E+02        7.902810E-02
        27    1   52.50        -1.000000E+02        7.902810E-02
        28    1   54.50        -1.000000E+02        7.902810E-02
        29    1   56.50        -1.000000E+02        7.902810E-02
        30    1   58.50        -1.000000E+02        7.902810E-02
        31    1   60.50        -1.000000E+02        7.902810E-02
        32    1   62.50        -1.000000E+02        7.902810E-02
        33    1   64.50        -1.000000E+02        7.902810E-02
        34    1   66.50        -1.000000E+02        7.902810E-02
        35    1   68.50        -1.000000E+02        7.902810E-02
        36    1   70.50        -1.000000E+02        7.902810E-02
        37    1   72.50        -1.000000E+02        7.902810E-02
        38    1   74.50        -1.000000E+02        7.902810E-02
        39    1   76.50        -1.000000E+02        7.902810E-02
        40    1   78.50        -1.000000E+02        7.902810E-02
        41    1   80.50        -1.000000E+02        7.902810E-02
        42    1   82.50        -1.000000E+02        7.902810E-02
